track_id,x,y
1,1125,373
2,808,552
1,1123,390
2,818,552
6,748,547
1,1122,378
2,834,554
6,760,549
1,1119,390
2,843,555
6,765,551
1,1115,402
2,851,555
6,770,551
1,1109,409
2,860,555
6,778,552
1,1105,397
2,866,558
6,783,552
1,1109,407
2,872,555
6,790,548
1,1131,397
2,875,554
6,806,550
1,1141,404
2,878,553
6,815,548
1,1122,408
2,885,548
6,826,546
1,1115,409
2,891,547
6,829,541
1,1113,407
2,906,549
6,829,534
1,1113,404
2,911,550
6,834,541
1,1130,405
2,912,550
6,837,543
1,1129,390
2,922,550
6,841,545
1,1126,403
2,930,553
6,850,544
1,1120,406
2,934,553
6,855,544
1,1114,411
2,933,549
6,864,545
1,1112,415
2,935,547
6,871,542
1,1109,405
2,941,550
6,877,539
1,1110,396
2,948,552
6,888,535
13,838,476
1,1113,408
2,953,551
6,897,528
13,839,476
14,805,481
1,1118,413
2,966,523
6,910,527
13,839,476
14,805,481
1,1122,411
2,980,534
6,918,529
13,840,476
14,805,481
1,1129,391
2,988,529
6,923,525
13,840,475
14,805,481
1,1137,388
2,997,535
6,930,527
13,839,476
14,805,481
1,1145,407
2,1004,542
6,938,527
13,839,475
14,805,481
1,1145,415
2,1009,545
6,943,527
13,839,475
14,805,481
1,1165,420
2,1019,548
6,950,526
13,839,476
14,804,481
1,1166,421
2,1026,550
6,954,527
13,839,475
14,804,481
1,1180,422
2,1034,550
6,960,525
13,839,476
14,803,482
1,1181,427
2,1043,548
6,965,525
13,839,475
14,803,481
1,1186,431
2,1049,546
6,970,524
13,839,475
14,804,481
1,1191,436
2,1056,541
6,979,524
13,838,476
14,804,481
1,1197,439
2,1061,536
6,984,520
13,839,475
14,804,482
1,1203,441
2,1065,532
6,987,519
13,839,476
14,804,482
1,1213,452
2,1071,528
6,993,514
13,838,476
14,804,482
1,1223,465
2,1076,527
6,1000,515
13,838,476
14,804,482
1,1239,499
2,1085,526
6,1008,513
13,838,476
14,804,482
1,1248,523
2,1096,523
6,1012,513
13,839,476
14,804,481
1,1256,527
2,1104,520
6,1017,517
13,839,476
14,805,481
1,1261,525
2,1113,519
6,1021,517
13,839,476
14,804,482
1,1265,528
2,1118,520
6,1024,515
13,839,476
14,804,481
1,1272,535
2,1122,519
6,1031,513
13,839,476
14,804,481
1,1278,541
2,1124,516
6,1036,511
13,839,477
14,804,480
1,1285,548
2,1127,513
6,1043,510
13,838,477
14,805,480
1,1292,555
2,1132,515
6,1050,508
13,838,478
14,805,480
1,1298,562
2,1136,517
6,1055,507
13,837,479
14,804,481
1,1305,569
2,1142,517
6,1062,503
13,838,478
14,804,481
1,1312,576
2,1147,515
6,1065,502
13,838,478
14,804,480
1,1319,583
2,1151,515
6,1068,502
13,837,478
14,804,480
1,1325,590
2,1152,518
6,1069,504
13,833,479
14,799,481
1,1332,596
2,1153,520
6,1072,505
13,830,479
14,798,482
1,1339,603
2,1150,518
6,1073,505
13,824,479
14,790,480
1,1346,610
2,1145,517
6,1070,503
13,817,477
14,783,480
1,1258,434
2,1131,507
6,1059,500
13,803,476
14,770,479
1,1257,436
2,1125,500
6,1055,497
13,795,475
14,762,478
1,1256,434
2,1123,498
6,1055,494
13,792,475
14,758,478
1,1257,426
2,1126,497
6,1057,492
13,791,474
14,759,477
1,1258,423
2,1128,496
6,1059,489
13,791,474
14,757,475
1,1259,428
2,1129,495
6,1060,485
13,790,474
14,756,475
1,1257,443
2,1123,492
6,1058,484
13,782,474
14,750,476
1,1255,446
2,1120,490
6,1056,483
13,777,475
14,745,477
1,1242,433
2,1113,484
6,1043,477
13,762,475
14,729,477
1,1221,422
2,1099,479
6,1030,477
13,745,475
14,712,477
1,1195,414
2,1082,474
6,1009,474
13,724,476
14,705,477
1,1189,410
2,1048,475
6,974,476
13,717,476
14,684,479
19,1147,442
1,1183,407
2,1017,476
6,942,478
13,709,476
14,677,479
19,1129,439
1,1177,403
2,985,477
6,912,480
13,701,477
14,669,479
19,1115,433
1,1171,399
2,958,480
6,888,482
13,693,476
14,661,479
19,1105,435
1,1165,396
2,945,481
6,881,483
13,686,476
14,653,479
19,1099,440
25,598,489
1,1159,392
2,939,481
6,877,482
13,678,476
14,646,480
19,1094,446
25,593,490
26,1027,407
27,560,492
1,1153,389
2,930,482
6,871,481
13,670,476
14,638,480
19,1088,446
25,586,490
26,1015,412
27,552,489
1,1147,385
2,919,482
6,855,479
13,662,477
14,630,480
19,1105,448
25,585,492
26,1008,414
27,547,489
1,1140,381
2,904,482
6,840,478
13,654,477
14,623,480
19,1080,449
25,583,494
26,1001,416
27,544,494
1,1134,378
2,892,483
6,828,478
13,646,477
14,615,480
19,1072,451
25,581,495
26,993,417
27,535,486
1,1129,374
2,883,482
6,823,479
13,639,477
14,607,480
19,1068,455
25,579,496
26,985,419
27,531,498
29,501,502
1,1122,370
2,879,480
6,822,477
13,631,477
14,599,481
19,1068,458
25,577,498
26,978,420
27,529,502
29,498,506
1,1116,367
2,875,477
6,824,477
13,623,477
14,592,481
19,1070,459
25,575,499
26,970,422
27,528,503
29,495,508
1,1110,363
2,873,466
6,825,477
13,615,477
14,584,481
19,1070,460
25,573,500
26,963,424
27,526,506
29,494,510
1,1104,360
2,863,465
6,828,478
13,607,477
14,492,508
19,1068,460
25,571,502
26,956,425
27,523,511
29,493,515
1,1098,356
2,853,463
6,829,479
13,599,477
14,487,510
19,1068,460
25,570,503
26,948,427
27,522,514
29,491,519
1,1092,352
2,844,460
6,829,480
13,591,478
14,482,510
19,1069,459
25,568,505
26,941,429
27,520,517
29,489,522
1,1086,349
2,870,453
6,832,479
13,584,478
14,472,511
19,1075,458
25,566,506
26,933,431
27,518,519
29,487,526
1,1080,345
2,865,450
6,833,479
13,576,477
14,461,513
19,1079,458
25,564,508
26,926,432
27,520,519
29,485,530
1,1074,342
2,859,448
6,834,474
13,568,477
14,450,514
19,1083,457
25,562,509
26,918,434
27,517,521
29,483,533
1,1068,338
2,854,446
6,832,473
13,560,477
14,439,516
19,1092,457
25,560,510
26,911,435
27,515,521
29,485,526
1,1061,334
2,848,443
6,833,473
13,553,478
14,429,517
19,1099,456
25,485,515
26,904,437
27,514,521
29,485,526
1,1055,331
2,842,440
6,837,473
13,545,478
14,418,519
19,1106,456
25,479,517
26,896,439
27,515,520
29,485,524
